x,y_test,y_predicted
3921.6714,-0.7924121,2.4270577
3923.1606,-0.77745104,2.3469908
3924.65,2.5526628,2.2742817
3926.1392,0.44944924,2.2953596
3927.6284,2.4787571,2.4067416
3929.1177,1.7343174,2.2208729
3930.6067,-1.286408,2.3347673
3932.096,2.6643243,2.138991
3933.5852,1.0202068,2.3472123
3935.0745,1.5961801,2.4227872
3936.5637,0.4496506,2.317424
3938.053,0.570206,2.44334
3939.5422,0.594866,2.5588157
3941.0312,0.054171495,2.2230074
3942.5205,1.0209312,2.4478981
3944.0098,2.2118933,2.4210467
3945.499,1.0455797,2.2951372
3946.9883,-0.3691529,2.3456972
3948.4775,0.7592063,2.4040012
3949.9666,1.5138798,2.3616457
3951.4558,-0.5038078,2.144721
3952.945,0.481379,2.3772357
3954.4343,1.3583863,2.2340662
3955.9236,1.2932328,2.2785032
3957.4128,0.4806024,2.1423788
3958.902,1.4816178,2.138122
3960.391,0.36796567,2.3743088
3961.8804,1.9428182,2.196405
3963.3696,2.1164813,2.255992
3964.859,0.923246,2.343237
3966.3481,1.5340645,2.1053736
3967.8374,1.0781018,2.3026297
3969.3264,0.86712176,2.32688
3970.8157,1.4968158,2.0397477
3972.305,1.1612988,2.291663
3973.7942,2.6927624,2.2289882
3975.2834,-0.78327465,2.3180394
3976.7727,1.5373358,2.240486
3978.2617,-0.34700298,2.1740992
3979.751,-0.47891256,2.3125784
3981.2402,1.6758139,2.1828117
3982.7295,1.5031306,2.2961464
3984.2188,1.652279,2.1052914
3985.708,-2.4248905,2.433258
3987.1973,3.771647,2.2928143
3988.6863,-0.11447373,2.264421
3990.1755,1.9817537,2.197702
3991.6648,1.1999218,2.270925
3993.154,2.2249444,2.2342064
3994.6433,0.15120311,2.284173
3996.1326,0.49382275,2.2068233
3997.6216,2.3146775,2.371156
3999.1108,0.30854475,1.8974358
4000.6,-0.350069,2.3739438
4002.0894,2.9199188,2.0724366
4003.5786,2.1259925,2.2242775
4005.0679,2.8544095,2.2510705
4006.5571,0.99326426,2.1510756
4008.0461,0.56317073,2.1864507
4009.5354,1.4574605,2.1506898
4011.0247,1.1820259,2.0813322
4012.514,1.8016319,2.2070818
4014.0032,2.6858475,2.1188686
4015.4924,2.5838966,2.0857882
4016.9814,1.2197644,2.1154046
4018.4707,0.05974891,2.1449964
4019.96,-0.4658549,2.0174532
4021.4492,-0.098653436,1.9881783
4022.9385,-0.12346603,2.1755018
4024.4277,-1.102369,2.1639516
4025.917,2.1654387,2.0657644
4027.406,0.3401447,2.053327
4028.8953,1.9619129,2.1095319
4030.3845,2.0478766,2.006441
4031.8738,1.6125618,2.2342255
4033.363,0.8845376,1.7330998
4034.8523,0.21859394,2.1312304
4036.3413,1.5541538,2.1018949
4037.8306,1.439761,2.0538373
4039.3198,1.6994479,2.1313896
4040.809,1.296375,2.246987
4042.2983,1.6790897,2.0829728
4043.7876,0.97753876,1.999788
4045.2766,1.3856635,2.187732
4046.7659,-0.4256063,1.9707754
4048.2551,2.0799055,2.165508
4049.7444,0.56966275,1.9793756
4051.2336,2.4510732,2.0225644
4052.723,1.14873,2.0402339
4054.2122,-0.09168925,2.085433
4055.7012,1.2642161,2.0546415
4057.1904,0.90332246,2.0543296
4058.6797,0.45632523,2.140105
4060.169,1.0354717,1.9296017
4061.6582,1.8765657,2.087655
4063.1475,1.2534189,2.1719344
4064.6365,1.8701966,2.0337403
4066.1257,1.584119,2.0676188
4067.615,0.24021299,2.0689456
4069.1042,0.28131258,2.2978787
4070.5935,-0.20196244,2.1596448
4072.0828,1.177374,2.0980453
4073.572,1.2813995,2.0970595
4075.061,1.0892165,2.2581148
4076.5503,1.40545,2.3368285
4078.0396,1.5473123,1.9036989
4079.5288,0.9124912,2.153575
4081.018,-0.29390052,2.2078047
4082.5073,0.6394135,2.1149244
4083.9963,-0.3606547,2.2319295
4085.4856,0.27146345,2.0048304
4086.9749,0.80947936,2.1381307
4088.464,2.0536332,2.2294676
4089.9534,1.7920011,2.1544118
4091.4426,1.5910449,2.130998
4092.9316,1.6802462,2.1036286
4094.421,1.081007,2.479578
